iter	Logloss
0	0.6827216587
1	0.671518025522	0.659972645333	0.651003472944	0.642302905155	0.631813345866	0.624268015
7	0.6150344193
8	0.6069392105
9	0.5987530106
10	0.5912252789
11	0.5842061735
12	0.5782962479
13	0.5719333641
14	0.5670712087
15	0.5621981943
16	0.5565553717	17	0.5510330618	18	0.5460935219	19	0.5419900620	20	0.53788386221	0.5336855399222	0.5303738522223	0.5267425724224	0.5234907965225	0.5205194828226	0.5171468224
27	0.5138825961
28	0.5108409796
29	0.5080693719330	0.5050776507331	0.5022087799332	0.49968409
33	0.4974662297
34	0.4947515382
35	0.4924736101
36	0.4909579349
37	0.4890235948
38	0.4870216978
39	0.4854324434
40	0.4833174941
41	0.4820294526
42	0.4799701402
43	0.4782918294
44	0.4771308197
45	0.4753753412446	0.4737464577447	0.471939149348	0.4758189383
49	0.4748682439
50	0.4737077959
51	0.472573528
5252	0.46562329553	0.4641770439554	0.4628280296555	0.4616367832556	0.460600496157	0.4645697783
58	0.4636291005
59	0.4627099534
60	0.4571955082
61	0.4561142873
62	0.4552173575663	0.454346296
64	0.4532030414
65	0.4524567649
66	0.4516312613
67	0.4507834468
68	0.4499650265669	0.4489175059770	0.4477416118771	0.446843902772	0.4458936446773	0.4451313292774	0.4443722975	75	0.4435820176	0.4467844271
77	0.4459719668
78	0.4452832306
7979	0.44040874980	0.4438761768
81	0.4431430684
82	0.4425420469
83	0.4419104141
84	0.4412579059
85	0.4406553553
86	0.4402642747
87	0.4398595268
88	0.4390125236
89	0.4385714229
90	0.4378735439
91	0.4373119019
92	0.4369776127
93	0.4365987953
94	0.4361313896
95	0.4357360341
96	0.4350873639
97	0.4346470745
98	0.4341959885
99	0.4336694511
100	0.4330355716
101	0.4324788287
102	0.4319127869
103	0.4314409814
104	0.4307905638
105	0.43047278161106	0.43022090231107	0.4294251362
108	0.4290764619
109	0.42865654881110	0.42827707611111	0.42742008761112	0.4269316504
113	0.4265116748
114	0.4260829309
115	0.4256201746
116	0.4252947162
117	0.4249768091
118	0.4245704698
119	0.4242542165
120	0.4239722566
121	0.4236060769
122	0.4231945888
123	0.4228500335
124	0.4224878791
125	0.4220783569
126	0.421907421
127	0.4215225501
128	0.421233694
129	0.4205729479
130	0.420263934
131	0.419886864
132	0.4196647223
133	0.4193659433
134	0.4191571257
135	0.4187625815
136	0.4181616535
137	0.4180089096
138	0.4177153106
139	0.4174091363
140	0.4171234942
141	0.4168710221
142	0.4166629846
143	0.4163701656
144	0.4162087158
145	0.4159480994
146	0.4157353813
147	0.4151296791
148	0.4148025045
149	0.4145801443
150	0.4143339754
151	0.4140489262
152	0.413810652
153	0.4135879797
154	0.4133137896
155	0.4130311432
156	0.4124411366
157	0.412201739
158	0.4120198193
159	0.4117873178
160	0.4115970354
161	0.4114617658
162	0.4112935134
163	0.4111326877
164	0.4109525154
165	0.4107775854
166	0.4104082228
167	0.4101243282
168	0.409907928
169	0.4095556965
170	0.4093070625
171	0.4091751005
172	0.4088750422
173	0.4086783317
174	0.4084529136
175	0.4081909554
176	0.4079468772
177	0.4075914005
178	0.4074487979
179	0.4071084239
180	0.4066788687
181	0.4060055785
182	0.4058116765
183	0.4055311207
184	0.4053284191
185	0.405117542
186	0.4049865473
187	0.4044968619
188	0.4043639637
189	0.4042682609
190	0.4041124278
191	0.4035847358
192	0.4034290899
193	0.4029163446
194	0.4027322718
195	0.4025649244
196	0.4023899944
197	0.4022168743
198	0.4020337688
199	0.4018957844
200	0.4015493568
201	0.4013255301
202	0.4011200513
203	0.4009452149
204	0.400740173
205	0.4005848391
206	0.4001920423
207	0.4000388303
208	0.3999373547
209	0.3998418703
210	0.3997229204
211	0.3995321075
212	0.3993663827
213	0.399123615
214	0.3988959502
215	0.3987126263
216	0.3985960791
217	0.3984490143
218	0.398178163
219	0.3979971482
220	0.3976491604
221	0.3973976244
222	0.3973155265
223	0.3970518834
224	0.3969210447
225	0.3967106669
226	0.3965539913
227	0.3964069265
228	0.3962445717
229	0.396012195
230	0.395843069
231	0.3956838658
232	0.3955903785
233	0.3954088956
234	0.3952918179
235	0.3951291511
236	0.3950496744
237	0.3948018829
238	0.3945671659
239	0.3943542605
240	0.3941348023
241	0.3939320071
242	0.393836273
243	0.3937000048
244	0.3935776225
245	0.3933860295
246	0.3932674229
247	0.3930107382
248	0.3928235762
249	0.3927768325
250	0.3926248375
251	0.3924921266
252	0.3921446381
253	0.3920009746
254	0.3919234637
255	0.3917332437
256	0.3916307695
257	0.3914266949
258	0.3911459831
259	0.3909706787
260	0.3908383734
261	0.3906780469
262	0.3903480951
263	0.3901746317
264	0.3899577946
265	0.3898649313
266	0.3895995095
267	0.3894931349
268	0.3893186729
269	0.3891783482
270	0.3890422673
271	0.3889165773
272	0.3887686076
273	0.3887324421
274	0.3885966732
275	0.3884441789
276	0.3883150253
277	0.3882361414
278	0.3881402825
279	0.3880212078
280	0.3878310814
281	0.3876712542
282	0.387536359
283	0.3873580901
284	0.3870960696
285	0.3870023014
286	0.3868459378
287	0.3866301304
288	0.3865211034
289	0.3863177465
290	0.3862472877
291	0.3861713058
292	0.3858874112
293	0.3857845002
294	0.385670855
295	0.3854637536
296	0.3851153602
297	0.3849798097
298	0.3848493455
299	0.3847633159
300	0.3846550066
301	0.3845609887
302	0.3844362349
303	0.3843108569
304	0.3841589555
305	0.3840503342
306	0.3839440219
307	0.3838061623
308	0.3836495179
309	0.3832633364
310	0.3831558384
311	0.3827554902
312	0.382666933
313	0.3824933448
314	0.3823734588
315	0.3822699861
316	0.3820571743
317	0.3819940173
318	0.3816965801
319	0.3815826853
320	0.381423607
321	0.3813212264
322	0.3810590186
323	0.3809628477
324	0.3808674569
325	0.3806089936
326	0.3804825859
327	0.3802400367
328	0.3801536638
329	0.3800749047
330	0.3799753638
331	0.3797022346
332	0.3796056892
333	0.3795104856
334	0.3792893111
335	0.3791480815
336	0.3789480635
337	0.3788396917
338	0.3786181116
339	0.3784642756
340	0.3781901166
341	0.3780870496
342	0.37799765
343	0.3778340158
344	0.3777047062
345	0.3775912794
346	0.3774786327
347	0.377252216
348	0.3769029489
349	0.3767998194
350	0.3766883897
351	0.376619023
352	0.3764988562
353	0.3764083644
354	0.376261206
355	0.37608353
356	0.3759640185
357	0.3758637598
358	0.3757140739
359	0.3756392465
360	0.3755606747
361	0.3754387604
362	0.3753417469
363	0.3750440913
364	0.3749366557
365	0.3747783887
366	0.3746767883
367	0.3745294427
368	0.3743133857
369	0.3741832647
370	0.3740487752
371	0.3739452401
372	0.3738450126
373	0.3736882746
374	0.3736057399
375	0.373381601
376	0.3732458009
377	0.3731062251
378	0.3728683877
379	0.3727419176
380	0.3726248712
381	0.3725466738
382	0.3724442308
383	0.3723444402
384	0.3722269257
385	0.3721152464
386	0.3720264084
387	0.3718726035
388	0.3716083987
389	0.3715158786
390	0.3713786431
391	0.3712845941
392	0.3710502203
393	0.3709833188
394	0.3708641817
395	0.3705761993
396	0.3704030168
397	0.3700438579
398	0.369836975
399	0.3697476065
400	0.3696577388
401	0.3696052848
402	0.3695006575
403	0.3694111019
404	0.3693361809
405	0.3691273009
406	0.3690081637
407	0.368908654
408	0.3688121086
409	0.3687257045
410	0.3685248439
411	0.3684317934
412	0.3682679096
413	0.3680618068
414	0.3679391124
415	0.3678078057
416	0.3677363795
417	0.3676286631
418	0.3674561046
419	0.3673589351
420	0.3672187665
421	0.3670966026
422	0.3670007749
423	0.3668530548
424	0.366793299
425	0.3666837727
426	0.3665931561
427	0.3665282829
428	0.3663763191
429	0.3662487568
430	0.3661906549
431	0.366024306
432	0.3659616794
433	0.3658692218
434	0.3657875607
435	0.3657052444
436	0.365624301
437	0.3655256962
438	0.3654353916
439	0.3652530974
440	0.3651792374
441	0.364976879
442	0.3648589589
443	0.3647671253
444	0.3646975714
445	0.3646268006
446	0.3645440786
447	0.364409277
448	0.3642358136
449	0.3640690903
450	0.3639391878
451	0.3638482903
452	0.3636991661
453	0.363365501
454	0.3632893943
455	0.3630369534
456	0.3628823372
457	0.362700043
458	0.3626209407
459	0.3623751151
460	0.3623004437
461	0.3622078925
462	0.3620834195
463	0.3619897136
464	0.3619228121
465	0.3618336933
466	0.3617595524
467	0.3616571407
468	0.3615481137
469	0.3614651421
470	0.3613752743
471	0.3613102139
472	0.361202435
473	0.3611180904
474	0.3610442928
475	0.3609684981
476	0.3608133515
477	0.3607693538
478	0.3606835114
479	0.3606196366
480	0.3605204389
481	0.3604525389
482	0.3603729685
483	0.3602475281
484	0.3601692683
485	0.3600330002
486	0.359888619
487	0.3597764091
488	0.3597149371
489	0.3596575216
490	0.3595433147
491	0.3594113215
492	0.3593242934
493	0.3591752004
494	0.358940577
495	0.3587173431
496	0.3586346523
497	0.3584125417
498	0.358352942
499	0.3582516536
500	0.3581497411
501	0.3580733535
502	0.3580013033
503	0.3578713384
504	0.3577640588
505	0.3576852685
506	0.3575412306
507	0.3573916695
